og_index,tconst
1024844,10097960
1024847,10097966
1024852,10097974
1024855,10097980
1024899,10098060
1024941,10098134
1025068,10098352
1025079,10098374
1025092,10098398
1025134,10098472
1025146,10098494
1025334,10098822
1026092,10100140
1026168,10100274
1026194,10100324
1026206,10100344
1026286,10100506
1026320,10100568
1026351,10100620
1026376,10100664
1026481,10100842
1026599,10101054
1026660,10101166
1026730,10101296
1026756,10101342
1026758,10101346
1026887,10101582
1026932,10101666
1026997,10101782
1027010,10101810
1027031,10101846
1027225,10102174
1027234,10102192
1027254,10102228
1027298,10102306
1027311,10102328
1027324,10102350
1027354,10102408
1027401,10102490
1027560,10102782
1027580,10102818
1027585,10102826
1027763,10103138
1029317,10105850
1029557,10106268
1029640,10106416
1029745,10106604
1029752,10106616
1029817,10106734
1029862,10106812
1029882,10106848
1029977,10107012
1030093,10107208
1030206,10107410
1030314,10107594
1030475,10107868
1030484,10107882
1030597,10108074
1030705,10108256
1030766,10108358
1030876,10108544
1031279,10109262
1031532,10109694
1031561,10109750
1031562,10109752
1031610,10109836
1031661,10109922
1031667,10109932
1031696,10109980
1031697,10109982
1031814,10110180
1031860,10110258
1032166,10110794
1032209,10110872
1032353,10111116
1032391,10111182
1032400,10111198
1032413,10111222
1032517,10111404
1032563,10111484
1032612,10111568
1032617,10111576
1032620,10111580
1032650,10111630
1032717,10111746
1032820,10111920
1032836,10111948
1032879,10112020
1032959,10112154
1032996,10112218
1033065,10112336
1033074,10112350
1033141,10112464
1033142,10112466
1033624,10113372
1034151,10114302
1034565,10115002
1034659,10115160
1034745,10115316
1034813,10115436
1034846,10115494
1034885,10115562
1034928,10115638
1034930,10115640
1034932,10115644
1035043,10115840
1035400,10116478
1035403,10116482
1035406,10116488
1035428,10116528
1035692,10116998
1035714,10117038
1035791,10117174
1035795,10117180
1035871,10117320
1035920,10117402
1036006,10117554
1036293,10118052
1036300,10118064
1036317,10118092
1037163,10119550
1037902,10120824
1037906,10120830
1038013,10121022
